n_sbs,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
8.0,Random,-457.76666666666665,0.02260590923108413,0.00965501893150298,0.01295089029958115,0.9773940907689158
8.0,BSG-like,56.26666666666667,0.03564727904247599,0.03564727904247599,0.0,0.9643527209575241
8.0,C-epsilon-greedy,-70.8,0.09194873774559988,0.054912078546143994,0.037036659199455896,0.9080512622544002
8.0,TemporalGraph,188.20000000000002,0.13863274437258152,0.10114970182223515,0.03748304255034635,0.8613672556274184
12.0,Random,-690.5666666666666,0.02599137809724325,0.007396639737971007,0.018594738359272247,0.9740086219027565
12.0,BSG-like,34.99999999999999,0.031877585985209546,0.031877585985209546,0.0,0.9681224140147903
12.0,C-epsilon-greedy,-109.56666666666665,0.12191259118834985,0.07350564501207252,0.04840694617627733,0.8780874088116503
12.0,TemporalGraph,160.96666666666667,0.13558812285021885,0.08861362940229918,0.04697449344791965,0.8644118771497812
16.0,Random,-939.7666666666665,0.025347511294868497,0.0041736812570145896,0.02117383003785391,0.9746524887051314
16.0,BSG-like,35.06666666666667,0.03642419849199025,0.03642419849199025,0.0,0.9635758015080098
16.0,C-epsilon-greedy,-200.73333333333335,0.10626616955338893,0.04355716796964787,0.06270900158374108,0.8937338304466111
16.0,TemporalGraph,157.66666666666666,0.13532233370200944,0.08629295362731147,0.04902938007469796,0.8646776662979905
