cache_capacity,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
10.0,Random,-232.16666666666666,0.008384326355340848,0.0017592592592592592,0.006625067096081588,0.9916156736446592
10.0,BSG-like,12.433333333333332,0.011569510065886876,0.011569510065886876,0.0,0.9884304899341131
10.0,C-epsilon-greedy,21.86666666666667,0.08738847344453497,0.04869178113315325,0.03869669231138174,0.9126115265554651
10.0,TemporalGraph,150.4333333333333,0.1202867613697266,0.06500371606273131,0.05528304530699527,0.8797132386302735
20.0,Random,-463.1666666666665,0.0177332480498003,0.004465266702108807,0.013267981347691492,0.9822667519501996
20.0,BSG-like,37.3,0.030116963828854915,0.030116963828854915,0.0,0.969883036171145
20.0,C-epsilon-greedy,-45.26666666666665,0.10678784301710718,0.059037614090964786,0.04775022892614239,0.8932121569828929
20.0,TemporalGraph,169.20000000000002,0.1332770213917989,0.08043325922995144,0.05284376216184745,0.8667229786082012
30.0,Random,-694.7333333333332,0.026902797965143724,0.005353771138084863,0.02154902682705886,0.9730972020348562
30.0,BSG-like,49.0,0.03983499720424484,0.03983499720424484,0.0,0.9601650027957552
30.0,C-epsilon-greedy,-117.26666666666667,0.1126684518049227,0.06073488509895131,0.0519335667059714,0.8873315481950773
30.0,TemporalGraph,197.26666666666668,0.14815247340605378,0.10184144020409014,0.046311033201963635,0.8518475265939465
