n_sbs,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
8.0,Random,-457.8333333333333,0.02260590923108413,0.00965501893150298,0.01295089029958115,0.9773940907689158
8.0,BSG-like,57.53333333333334,0.03564727904247599,0.03564727904247599,0.0,0.9643527209575241
8.0,C-epsilon-greedy,-70.5,0.09194873774559988,0.054912078546143994,0.037036659199455896,0.9080512622544002
8.0,TemporalGraph,155.16666666666666,0.15148428588158028,0.08022814131795826,0.07125614456362202,0.8485157141184198
12.0,Random,-690.5333333333332,0.02599137809724325,0.007396639737971007,0.018594738359272247,0.9740086219027565
12.0,BSG-like,36.4,0.031877585985209546,0.031877585985209546,0.0,0.9681224140147903
12.0,C-epsilon-greedy,-109.13333333333333,0.12191259118834985,0.07350564501207252,0.04840694617627733,0.8780874088116503
12.0,TemporalGraph,173.63333333333335,0.1564776878641351,0.09263566373352346,0.06384202413061164,0.8435223121358649
16.0,Random,-939.7333333333332,0.025347511294868497,0.0041736812570145896,0.02117383003785391,0.9746524887051314
16.0,BSG-like,36.43333333333333,0.03642419849199025,0.03642419849199025,0.0,0.9635758015080098
16.0,C-epsilon-greedy,-199.93333333333337,0.10626616955338893,0.04355716796964787,0.06270900158374108,0.8937338304466111
16.0,TemporalGraph,156.06666666666672,0.15756364740169573,0.08206712732528977,0.07549652007640596,0.8424363525983044
