scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
TemporalGraph,1,27.60000000,0.20833333,0.00000000,0.62500000,0.20833333
TemporalGraph,2,20.10000000,0.25000000,0.08333333,0.50000000,0.33333333
AWFDRL,1,26.60000000,0.18055556,0.08333333,0.56944444,0.26388889
AWFDRL,2,22.90000000,0.14880952,0.12500000,0.55952381,0.27380952
MAAFDRL,1,11.00000000,0.12500000,0.04166667,0.75000000,0.16666667
MAAFDRL,2,7.80000000,0.09583333,0.04444444,0.69305556,0.14027778
DTS-DDPG,1,31.60000000,0.46527778,0.00000000,0.45138889,0.46527778
DTS-DDPG,2,14.40000000,0.11111111,0.15277778,0.65277778,0.26388889
