scheme,cache_capacity,n_sbs,reward_mean,cost_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Random,30,8,5240.65000000,49759.35000000,0.09640909,0.10150000,0.80209091,0.19790909
C-epsilon-greedy,30,8,5948.00000000,49052.00000000,0.10850000,0.11081818,0.78068182,0.21931818
Thompson,30,8,5196.85000000,49803.15000000,0.09531818,0.10190909,0.80277273,0.19722727
BSG-like,30,8,5681.90000000,49318.10000000,0.10531818,0.09804545,0.79663636,0.20336364
EFNRL-like,30,8,7739.65000000,47260.35000000,0.15195455,0.10245455,0.74559091,0.25440909
GNN-ActorCritic,30,8,6868.00000000,48132.00000000,0.12600000,0.13127273,0.74272727,0.25727273
GNN-ActorCritic,30,8,6740.50000000,48259.50000000,0.12481818,0.12440909,0.75077273,0.24922727
