scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,147.06666667,0.27762987,0.12632666,0.54604347,0.40395653
AWFDRL,233.33333333,0.39761574,0.12437500,0.39467593,0.52199074
MAAFDRL,117.90000000,0.24186839,0.08930946,0.60215548,0.33117785
DTS-DDPG,269.03333333,0.45074405,0.13339616,0.36585979,0.58414021
