cache_capacity,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
10.0,Random,-232.20000000000005,0.008384326355340848,0.0017592592592592592,0.006625067096081588,0.9916156736446592
10.0,BSG-like,12.066666666666668,0.011569510065886876,0.011569510065886876,0.0,0.9884304899341131
10.0,C-epsilon-greedy,21.43333333333334,0.08738847344453497,0.04869178113315325,0.03869669231138174,0.9126115265554651
10.0,TemporalGraph,169.63333333333335,0.10127142203972327,0.08259015042358574,0.018681271616137515,0.8987285779602768
20.0,Random,-463.1999999999999,0.0177332480498003,0.004465266702108807,0.013267981347691492,0.9822667519501996
20.0,BSG-like,36.099999999999994,0.030116963828854915,0.030116963828854915,0.0,0.969883036171145
20.0,C-epsilon-greedy,-46.06666666666664,0.10678784301710718,0.059037614090964786,0.04775022892614239,0.8932121569828929
20.0,TemporalGraph,176.89999999999998,0.1150854529647793,0.08653475048583287,0.028550702478946432,0.8849145470352208
30.0,Random,-694.9333333333334,0.026902797965143724,0.005353771138084863,0.02154902682705886,0.9730972020348562
30.0,BSG-like,47.26666666666667,0.03983499720424484,0.03983499720424484,0.0,0.9601650027957552
30.0,C-epsilon-greedy,-117.96666666666665,0.1126684518049227,0.06073488509895131,0.0519335667059714,0.8873315481950773
30.0,TemporalGraph,188.5,0.12966395271484765,0.09425830712450818,0.03540564559033949,0.8703360472851523
