scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
TemporalGraph,1,205.20000000,0.38005952,0.02791667,0.51702381,0.40797619
TemporalGraph,2,243.50000000,0.39181548,0.03666667,0.47151786,0.42848214
TemporalGraph,3,294.30000000,0.52626984,0.04611111,0.37761905,0.57238095
AWFDRL,1,158.50000000,0.25155754,0.07027778,0.55316468,0.32183532
AWFDRL,2,187.90000000,0.28173611,0.05187500,0.56638889,0.33361111
AWFDRL,3,183.90000000,0.31729167,0.08833333,0.49437500,0.40562500
MAAFDRL,1,145.90000000,0.26883929,0.09357143,0.61258929,0.36241071
MAAFDRL,2,125.00000000,0.19458333,0.10166667,0.60375000,0.29625000
MAAFDRL,3,112.90000000,0.24779762,0.14354167,0.55866071,0.39133929
DTS-DDPG,1,229.80000000,0.30254960,0.13292659,0.51452381,0.43547619
DTS-DDPG,2,77.80000000,0.09267857,0.14684524,0.68547619,0.23952381
DTS-DDPG,3,87.30000000,0.15904762,0.16401786,0.65193452,0.32306548
