scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,294.96666667,0.47193362,0.05719907,0.42086730,0.52913270
MAAFDRL,108.90000000,0.25082341,0.08730489,0.57853836,0.33812831
Thompson,-109.06666667,0.00000000,0.01437500,0.91895833,0.01437500
LFU,127.53333333,0.23253638,0.07601521,0.64144841,0.30855159
LRU,97.43333333,0.17728175,0.07738456,0.68700036,0.25466631
