model,local,neighbor,cloud,replace
Random,0.004575337039642768,0.05825984910560271,4.90429850341979,0.001234375
BSG-like,0.01872385399949451,0.0,4.902474480002528,0.00109375
C-epsilon-greedy,0.18070313036012445,0.6079127442178579,3.336593417927056,0.03174804687500004
LRU,0.18268321048986721,0.6772985081548122,3.2399608123571513,0.006118652343749993
LFU,0.2299176117476925,0.6099401003242179,3.087986815856267,0.008772460937500004
Thompson,0.005081342972732572,0.051718772557941196,4.909944819438909,0.09651074218749846
MAAFDRL,0.23182898601864504,0.7519381250309307,2.9009324136181127,0.02555810546875
TemporalGraph,0.32722377296235694,0.5973095988234763,2.6133378866588752,4.882812500000001e-07
