epoch,loss,reward,local_hit_rate,paper_hit_rate
1,2.90084174,4.99000000,0.08164359,0.13786031
2,2.72172950,4.83375000,0.07191717,0.13823689
3,2.68183830,4.52906250,0.06682311,0.14156900
4,2.67554500,4.35812500,0.06087652,0.13778027
5,2.67580711,4.70093750,0.06443665,0.13408672
6,2.67457948,4.06687500,0.05723779,0.13453428
