epoch,loss,reward,local_hit_rate,paper_hit_rate
1,2.17448585,5.77562500,0.37749752,0.54796379
2,2.03256231,4.71562500,0.33785263,0.55342397
3,2.00768505,4.23812500,0.32862103,0.48141617
4,2.08678470,4.86500000,0.36996032,0.51349950
5,2.06104196,5.54625000,0.41833491,0.58145292
6,2.05912054,4.15875000,0.33113839,0.48357391
7,2.11358101,4.61562500,0.34249752,0.48707589
8,2.12167560,4.21000000,0.32071429,0.47321925
