scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,445.82000000,0.06545550,0.06847238,0.86607212,0.13392788
Paper2-AWFDRL-like,504.66666667,0.06737730,0.09241157,0.84021114,0.15978886
Paper3-MAAFDRL-like,272.03333333,0.08450458,0.05894751,0.85654792,0.14345208
Paper4-DTS-DDPG-like,526.63333333,0.06427029,0.08655610,0.84917361,0.15082639
