epoch,loss,reward,local_hit_rate,paper_hit_rate
1,0.55559051,2.46250000,0.07328597,0.14608067
2,0.32141689,2.49125000,0.09579193,0.16238874
3,0.28628492,2.33125000,0.07299174,0.11546621
