group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Thompson,10,8,11,10722.00000000,154278.00000000,0.07045455,0.05400000,0.87554545,0.12445455
fig7,Thompson,10,8,12,11296.00000000,153704.00000000,0.07360606,0.05878788,0.86760606,0.13239394
fig7,Thompson,10,8,13,11503.00000000,153497.00000000,0.07472727,0.06057576,0.86469697,0.13530303
fig7,Thompson,10,8,14,11470.00000000,153530.00000000,0.07509091,0.05812121,0.86678788,0.13321212
fig7,Thompson,10,8,15,10885.00000000,154115.00000000,0.07096970,0.05687879,0.87215152,0.12784848
fig7,Thompson,10,8,16,11732.00000000,153268.00000000,0.07727273,0.05733333,0.86539394,0.13460606
fig7,Thompson,10,8,17,11880.00000000,153120.00000000,0.07993939,0.05115152,0.86890909,0.13109091
fig7,Thompson,10,8,18,11869.00000000,153131.00000000,0.07939394,0.05300000,0.86760606,0.13239394
fig7,Thompson,10,8,19,11605.00000000,153395.00000000,0.07606061,0.05833333,0.86560606,0.13439394
fig7,Thompson,10,8,20,11508.00000000,153492.00000000,0.07578788,0.05648485,0.86772727,0.13227273
fig7,BSG-like,10,8,1,11590.00000000,153410.00000000,0.07800000,0.05012121,0.87187879,0.12812121
fig7,BSG-like,10,8,2,10680.00000000,154320.00000000,0.06975758,0.05551515,0.87472727,0.12527273
fig7,BSG-like,10,8,3,11448.00000000,153552.00000000,0.07560606,0.05539394,0.86900000,0.13100000
fig7,BSG-like,10,8,4,11616.00000000,153384.00000000,0.07454545,0.06472727,0.86072727,0.13927273
fig7,BSG-like,10,8,5,11358.00000000,153642.00000000,0.07357576,0.06078788,0.86563636,0.13436364
fig7,BSG-like,10,8,6,10525.00000000,154475.00000000,0.06821212,0.05700000,0.87478788,0.12521212
fig7,BSG-like,10,8,7,10550.00000000,154450.00000000,0.07154545,0.04442424,0.88403030,0.11596970
fig7,BSG-like,10,8,8,12005.00000000,152995.00000000,0.07942424,0.05700000,0.86357576,0.13642424
fig7,BSG-like,10,8,9,11820.00000000,153180.00000000,0.07645455,0.06327273,0.86027273,0.13972727
fig7,BSG-like,10,8,10,11349.00000000,153651.00000000,0.07275758,0.06378788,0.86345455,0.13654545
fig7,BSG-like,10,8,11,10473.00000000,154527.00000000,0.06869697,0.05348485,0.87781818,0.12218182
fig7,BSG-like,10,8,12,11249.00000000,153751.00000000,0.07384848,0.05639394,0.86975758,0.13024242
fig7,BSG-like,10,8,13,11334.00000000,153666.00000000,0.07506061,0.05412121,0.87081818,0.12918182
fig7,BSG-like,10,8,14,11218.00000000,153782.00000000,0.07363636,0.05630303,0.87006061,0.12993939
fig7,BSG-like,10,8,15,10806.00000000,154194.00000000,0.07109091,0.05400000,0.87490909,0.12509091
fig7,BSG-like,10,8,16,11259.00000000,153741.00000000,0.07360606,0.05766667,0.86872727,0.13127273
fig7,BSG-like,10,8,17,11666.00000000,153334.00000000,0.07527273,0.06333333,0.86139394,0.13860606
fig7,BSG-like,10,8,18,11785.00000000,153215.00000000,0.07893939,0.05227273,0.86878788,0.13121212
fig7,BSG-like,10,8,19,11382.00000000,153618.00000000,0.07348485,0.06187879,0.86463636,0.13536364
fig7,BSG-like,10,8,20,11008.00000000,153992.00000000,0.07133333,0.05915152,0.86951515,0.13048485
fig7,EFNRL-like,10,8,1,11166.00000000,153834.00000000,0.07521212,0.04842424,0.87636364,0.12363636
fig7,EFNRL-like,10,8,2,9704.00000000,155296.00000000,0.06190909,0.05733333,0.88075758,0.11924242
fig7,EFNRL-like,10,8,3,11593.00000000,153407.00000000,0.07627273,0.05712121,0.86660606,0.13339394
fig7,EFNRL-like,10,8,4,11139.00000000,153861.00000000,0.07339394,0.05487879,0.87172727,0.12827273
fig7,EFNRL-like,10,8,5,11217.00000000,153783.00000000,0.07275758,0.05978788,0.86745455,0.13254545
fig7,EFNRL-like,10,8,6,10848.00000000,154152.00000000,0.07033333,0.05830303,0.87136364,0.12863636
fig7,EFNRL-like,10,8,7,10424.00000000,154576.00000000,0.06918182,0.05006061,0.88075758,0.11924242
fig7,EFNRL-like,10,8,8,11471.00000000,153529.00000000,0.07515152,0.05790909,0.86693939,0.13306061
fig7,EFNRL-like,10,8,9,11757.00000000,153243.00000000,0.07639394,0.06160606,0.86200000,0.13800000
fig7,EFNRL-like,10,8,10,10647.00000000,154353.00000000,0.06596970,0.06966667,0.86436364,0.13563636
fig7,EFNRL-like,10,8,11,10435.00000000,154565.00000000,0.06733333,0.05778788,0.87487879,0.12512121
fig7,EFNRL-like,10,8,12,10843.00000000,154157.00000000,0.07045455,0.05766667,0.87187879,0.12812121
fig7,EFNRL-like,10,8,13,11075.00000000,153925.00000000,0.07154545,0.06033333,0.86812121,0.13187879
