scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,247.63333333,0.43271495,0.03689815,0.45538690,0.46961310
AWFDRL,176.76666667,0.28352844,0.07016204,0.53797619,0.35369048
MAAFDRL,127.93333333,0.23707341,0.11292659,0.59166667,0.35000000
DTS-DDPG,131.63333333,0.18475860,0.14792989,0.61731151,0.33268849
