group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig9,GNN-ActorCritic,10,4,1,2040.00000000,52960.00000000,0.04772727,0.00000000,0.95227273,0.04772727
fig9,GNN-ActorCritic,10,4,2,2320.00000000,52680.00000000,0.05409091,0.00000000,0.94590909,0.05409091
fig9,GNN-ActorCritic,20,4,1,3436.00000000,51564.00000000,0.07945455,0.00000000,0.92054545,0.07945455
fig9,GNN-ActorCritic,20,4,2,3276.00000000,51724.00000000,0.07581818,0.00000000,0.92418182,0.07581818
fig9,GNN-ActorCritic,30,4,1,4656.00000000,50344.00000000,0.10718182,0.00000000,0.89281818,0.10718182
fig9,GNN-ActorCritic,30,4,2,4744.00000000,50256.00000000,0.10918182,0.00000000,0.89081818,0.10918182
fig9,GNN-ActorCritic,10,8,1,4464.00000000,50536.00000000,0.08800000,0.06472727,0.84727273,0.15272727
fig9,GNN-ActorCritic,10,8,2,4116.00000000,50884.00000000,0.08172727,0.05818182,0.86009091,0.13990909
fig9,GNN-ActorCritic,20,8,1,6229.00000000,48771.00000000,0.12072727,0.09427273,0.78500000,0.21500000
fig9,GNN-ActorCritic,20,8,2,6007.00000000,48993.00000000,0.12000000,0.07700000,0.80300000,0.19700000
fig9,GNN-ActorCritic,30,8,1,7511.00000000,47489.00000000,0.14845455,0.09990909,0.75163636,0.24836364
fig9,GNN-ActorCritic,30,8,2,7519.00000000,47481.00000000,0.14772727,0.10354545,0.74872727,0.25127273
