scheme,cache_capacity,n_sbs,reward_mean,cost_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Random,30,8,159.50000000,54840.50000000,0.01886364,0.04604545,0.93509091,0.06490909
C-epsilon-greedy,30,8,6415.80000000,48584.20000000,0.12190909,0.12818182,0.74990909,0.25009091
Thompson,30,8,179.30000000,54820.70000000,0.01972727,0.04631818,0.93395455,0.06604545
BSG-like,30,8,6051.95000000,48948.05000000,0.13795455,0.00000000,0.86204545,0.13795455
EFNRL-like,30,8,33374.50000000,21625.50000000,0.77213636,0.01463636,0.21322727,0.78677273
GNN-ActorCritic,30,8,7145.00000000,47855.00000000,0.13063636,0.13790909,0.73145455,0.26854545
GNN-ActorCritic,30,8,6793.50000000,48206.50000000,0.12386364,0.13304545,0.74309091,0.25690909
