epoch,loss,reward,local_hit_rate,paper_hit_rate
1,2.72843667,1.01218750,0.02402804,0.05065102
2,2.69852780,0.71156250,0.01718255,0.04085475
3,2.69128532,0.88281250,0.02178566,0.04239825
4,2.68251977,0.96750000,0.02418062,0.04669751
5,2.68104368,0.92593750,0.02532469,0.04742963
6,2.67553191,0.89250000,0.02053871,0.04513645
