scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,580.53333333,0.11929309,0.04077007,0.83993684,0.16006316
Paper2-AWFDRL-like,511.43333333,0.06697989,0.09067999,0.84234012,0.15765988
Paper3-MAAFDRL-like,268.20000000,0.08253311,0.06146107,0.85600581,0.14399419
Paper4-DTS-DDPG-like,538.46666667,0.06580952,0.08200558,0.85218490,0.14781510
