scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
TemporalGraph,1,302.60000000,0.45979167,0.04562500,0.44458333,0.50541667
TemporalGraph,2,266.90000000,0.40705087,0.07666667,0.46628247,0.48371753
TemporalGraph,3,317.40000000,0.55465278,0.04097222,0.35437500,0.59562500
AWFDRL,1,281.20000000,0.51029762,0.07932540,0.33537698,0.58962302
AWFDRL,2,264.80000000,0.44888889,0.06479167,0.38631944,0.51368056
AWFDRL,3,227.50000000,0.36642857,0.15190476,0.40666667,0.51833333
MAAFDRL,1,122.60000000,0.24976190,0.11898810,0.58125000,0.36875000
MAAFDRL,2,95.80000000,0.18241071,0.03752976,0.68005952,0.21994048
MAAFDRL,3,108.90000000,0.26902778,0.09533911,0.58563312,0.36436688
DTS-DDPG,1,316.50000000,0.51678571,0.11807540,0.31513889,0.63486111
DTS-DDPG,2,238.40000000,0.36211310,0.15086310,0.43702381,0.51297619
DTS-DDPG,3,254.30000000,0.46187500,0.13083333,0.35729167,0.59270833
