scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,295.63333333,0.47383177,0.05442130,0.42174693,0.52825307
AWFDRL,257.83333333,0.44187169,0.09867394,0.37612103,0.54054563
MAAFDRL,109.10000000,0.23373347,0.08395232,0.61564755,0.31768579
DTS-DDPG,269.73333333,0.44692460,0.13325728,0.36981812,0.58018188
