scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,298.83333333,0.47221140,0.06664352,0.41114508,0.53885492
AWFDRL,243.80000000,0.41201389,0.11505952,0.38959325,0.52707341
MAAFDRL,117.93333333,0.24186839,0.08930946,0.60215548,0.33117785
DTS-DDPG,269.03333333,0.45074405,0.13339616,0.36585979,0.58414021
