scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,319.73333333,0.06097482,0.02136676,0.91765842,0.08234158
Paper2-AWFDRL-like,439.76666667,0.06627374,0.06963881,0.86408745,0.13591255
Paper3-MAAFDRL-like,482.93333333,0.09102419,0.04209683,0.86687898,0.13312102
Paper4-DTS-DDPG-like,478.20000000,0.06858280,0.06600907,0.86540813,0.13459187
