hotspot_weight,fixed_mean_latency_ms,moving_mean_latency_ms
0.25,24.202723880920253,18.82136234205527
0.5,31.21392343323888,12.677747028596725
0.75,33.23980657839617,10.99259258045475
0.9,33.35259261230771,10.573799848556384
