cache_capacity,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
10.0,Random,-230.8666666666667,0.011002351557907112,0.0019444444444444446,0.009057907113462669,0.9889976484420929
10.0,BSG-like,13.666666666666666,0.013004381397390775,0.013004381397390775,0.0,0.9869956186026091
10.0,C-epsilon-greedy,-3.0333333333333248,0.06503504319199616,0.03423906228544631,0.030795980906549846,0.9349649568080037
10.0,TemporalGraph,148.6,0.13244880995977817,0.05657430513533782,0.07587450482444034,0.8675511900402219
20.0,Random,-460.4666666666665,0.016339678317142756,0.00602241144552806,0.010317266871614697,0.9836603216828571
20.0,BSG-like,38.5,0.03250791927545192,0.03250791927545192,0.0,0.967492080724548
20.0,C-epsilon-greedy,-82.3,0.08295291054406283,0.04151979519070248,0.04143311535336034,0.9170470894559372
20.0,TemporalGraph,166.76666666666668,0.15093528822428845,0.07058389997731253,0.08035138824697595,0.8490647117757116
30.0,Random,-695.7666666666668,0.03244608540239401,0.006525573192239858,0.02592051221015415,0.9675539145976061
30.0,BSG-like,56.53333333333333,0.04409415693986296,0.04409415693986296,0.0,0.9559058430601372
30.0,C-epsilon-greedy,-142.1,0.09417578483538232,0.05048114991802341,0.0436946349173589,0.9058242151646176
30.0,TemporalGraph,215.0333333333333,0.16338995083150634,0.09955530393542873,0.06383464689607761,0.8366100491684937
