n_sbs,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
8.0,Random,-459.46666666666664,0.01859074497225494,0.0052634476597495095,0.013327297312505428,0.9814092550277449
8.0,BSG-like,43.900000000000006,0.031225904470901553,0.031225904470901553,0.0,0.9687740955290983
8.0,C-epsilon-greedy,-57.63333333333333,0.10564503796649218,0.05617724119821754,0.04946779676827462,0.8943549620335078
8.0,TemporalGraph,174.96666666666667,0.15673479613080055,0.0820346377995456,0.07470015833125493,0.8432652038691995
12.0,Random,-697.5333333333332,0.02334778008358272,0.006413919900762006,0.016933860182820712,0.9766522199164172
12.0,BSG-like,49.800000000000004,0.03429289906718929,0.03429289906718929,0.0,0.9657071009328106
12.0,C-epsilon-greedy,-107.56666666666666,0.1272464863920136,0.05819059971942173,0.06905588667259185,0.8727535136079864
12.0,TemporalGraph,155.60000000000002,0.15325343353298737,0.07276779129881462,0.08048564223417277,0.8467465664670127
16.0,Random,-937.0666666666666,0.026744504506708927,0.004089793727474887,0.022654710779234043,0.9732554954932908
16.0,BSG-like,40.8,0.03477088405596055,0.03477088405596055,0.0,0.9652291159440395
16.0,C-epsilon-greedy,-176.83333333333334,0.12103455039947164,0.04713389674352344,0.07390065365594821,0.8789654496005284
16.0,TemporalGraph,181.63333333333335,0.19395949674027327,0.09458625289017446,0.09937324385009882,0.8060405032597268
