scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,661.20000000,0.08165051,0.07354024,0.84480925,0.15519075
Paper2-AWFDRL-like,575.06666667,0.06397870,0.09243231,0.84358900,0.15641100
Paper3-MAAFDRL-like,244.46666667,0.07890992,0.06146474,0.85962535,0.14037465
Paper4-DTS-DDPG-like,659.80000000,0.06964029,0.08173987,0.84861984,0.15138016
