scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
TemporalGraph,1,302.80000000,0.45979167,0.04562500,0.44458333,0.50541667
TemporalGraph,2,267.40000000,0.40705087,0.07666667,0.46628247,0.48371753
TemporalGraph,3,309.50000000,0.53715278,0.04097222,0.37187500,0.57812500
AWFDRL,1,281.20000000,0.51029762,0.07932540,0.33537698,0.58962302
AWFDRL,2,264.70000000,0.44888889,0.06479167,0.38631944,0.51368056
AWFDRL,3,227.40000000,0.36642857,0.15190476,0.40666667,0.51833333
MAAFDRL,1,116.10000000,0.28250000,0.11863095,0.54886905,0.40113095
MAAFDRL,2,107.40000000,0.19937500,0.05136905,0.64925595,0.25074405
MAAFDRL,3,112.10000000,0.28338384,0.09226461,0.57435155,0.37564845
DTS-DDPG,1,317.50000000,0.51678571,0.11807540,0.31513889,0.63486111
DTS-DDPG,2,92.50000000,0.14148810,0.21175595,0.59675595,0.35324405
DTS-DDPG,3,119.40000000,0.17104167,0.25625000,0.52270833,0.42729167
