scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,293.23333333,0.46799844,0.05442130,0.42758027,0.52241973
AWFDRL,257.76666667,0.44187169,0.09867394,0.37612103,0.54054563
MAAFDRL,111.86666667,0.25508628,0.08742154,0.59082552,0.34250782
DTS-DDPG,176.46666667,0.27643849,0.19536045,0.47820106,0.47179894
