scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,2604.80000000,0.32338790,0.18048518,0.49571026,0.50387307
MAAFDRL,1619.25000000,0.22704741,0.17222854,0.60072406,0.39927594
Thompson,-574.32000000,0.00587492,0.01467590,0.97944917,0.02055083
LFU,1960.32000000,0.25571233,0.14490330,0.59855103,0.40061563
LRU,1534.89500000,0.19105209,0.18164639,0.62730152,0.37269848
