round,train_loss,val_loss
1,8.28863183,8.28756911
2,8.28601526,8.28671628
3,8.28699757,8.28587216
4,8.28210544,8.28498342
5,8.28230294,8.28386685
6,8.28202525,8.28255057
7,8.27647435,8.28067143
8,8.27489036,8.27821048
9,8.27493630,8.27417156
10,8.26620113,8.26841429
11,8.25830835,8.26028048
12,8.24863563,8.25172470
13,8.22662184,8.24333395
14,8.22006598,8.23472634
15,8.20094695,8.22227193
