episode,step,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate,cache_overlap,cache_diversity
1.0,0.0,-16.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,-16.0,0.0,0.0,1.0,0.0,0.1696969696969697,0.8303030303030303
1.0,2.0,0.3999999999999986,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,0.3213606954986265,0.6786393045013734
1.0,3.0,-3.4000000000000004,0.037037037037037035,0.0,0.9629629629629629,0.037037037037037035,0.2406022871186184,0.7593977128813816
1.0,4.0,7.0,0.17647058823529413,0.058823529411764705,0.7647058823529411,0.23529411764705882,0.22902146729126202,0.770978532708738
1.0,5.0,-3.8,0.0,0.0,1.0,0.0,0.12287273581908736,0.8771272641809127
1.0,6.0,-3.0999999999999988,0.0,0.0,1.0,0.0,0.11615127890787715,0.8838487210921229
1.0,7.0,3.6999999999999997,0.1,0.1,0.8,0.2,0.09362875638535463,0.9063712436146454
1.0,8.0,-3.5999999999999996,0.0,0.0,1.0,0.0,0.05365575257216124,0.9463442474278387
1.0,9.0,-8.6,0.0,0.0,1.0,0.0,0.024986709197235512,0.9750132908027644
1.0,10.0,0.6000000000000001,0.5,0.0,0.5,0.5,0.01998001998001998,0.98001998001998
1.0,11.0,0.7999999999999998,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.01998001998001998,0.98001998001998
1.0,12.0,-8.899999999999999,0.0,0.0,1.0,0.0,0.0,1.0
1.0,13.0,-5.7,0.0,0.2,0.8,0.2,0.019547703758230072,0.9804522962417699
1.0,14.0,-4.9,0.0,0.0,1.0,0.0,0.007115691326217641,0.9928843086737824
1.0,15.0,-9.099999999999998,0.0,0.0,1.0,0.0,0.004662004662004662,0.9953379953379954
1.0,16.0,-6.099999999999998,0.0,0.0,1.0,0.0,0.009446693657219972,0.99055330634278
1.0,17.0,14.0,0.19047619047619047,0.0,0.8095238095238095,0.19047619047619047,0.004784688995215311,0.9952153110047847
1.0,18.0,-3.4,0.0,0.125,0.875,0.125,0.0,1.0
1.0,19.0,2.1999999999999993,0.038461538461538464,0.038461538461538464,0.9230769230769231,0.07692307692307693,0.002331002331002331,0.9976689976689976
