scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,654.13333333,0.08521722,0.03022625,0.88455653,0.11544347
Paper2-AWFDRL-like,334.90000000,0.04439268,0.05044573,0.90516159,0.09483841
Paper3-MAAFDRL-like,492.56666667,0.09574055,0.04034297,0.86391647,0.13608353
Paper4-DTS-DDPG-like,354.83333333,0.04329703,0.04631343,0.91038954,0.08961046
