t_update_s,fixed_mean_latency_ms,moving_mean_latency_ms
3.0,35.03318564273956,10.606255873976032
5.0,33.23980657839617,10.992592580454753
8.0,32.133643373584576,11.478856277386864
12.0,32.02102162409426,14.514296307993034
