round,train_loss,val_loss
1,8.28931617,8.28753521
2,8.28767887,8.28652559
3,8.28448134,8.28529662
4,8.28490469,8.28414476
5,8.28027696,8.28282340
6,8.28054983,8.28140526
7,8.27624749,8.27877135
8,8.27427559,8.27630629
9,8.27000300,8.27141331
10,8.26274341,8.26606561
11,8.25208310,8.25511497
12,8.24145075,8.24136219
