scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,445.82000000,0.06545550,0.06847238,0.86607212,0.13392788
Paper2-AWFDRL-like,512.26666667,0.06809745,0.09207892,0.83982363,0.16017637
Paper3-MAAFDRL-like,590.46666667,0.09518870,0.06612076,0.83869054,0.16130946
Paper4-DTS-DDPG-like,547.63333333,0.06774956,0.08290167,0.84934877,0.15065123
