scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,565.31000000,0.07156265,0.06325503,0.86434899,0.13481768
Paper2-AWFDRL-like,452.70000000,0.06640824,0.07800150,0.85559026,0.14440974
Paper3-MAAFDRL-like,217.50000000,0.07487050,0.04822336,0.87690613,0.12309387
Paper4-DTS-DDPG-like,422.46666667,0.06062171,0.06605497,0.87332333,0.12667667
