time_s,mean_latency_ms,p95_latency_ms,mean_distance
166.000,6.908971,8.148781,38.179416
167.000,6.914440,8.148631,38.188805
168.000,6.906013,8.130065,38.120265
169.000,6.923137,8.147287,38.162742
170.000,6.930176,8.159960,38.103519
171.000,6.914919,8.126480,38.098387
172.000,6.911682,8.081055,38.133637
173.000,6.906178,8.048214,38.123562
174.000,6.905924,8.057191,38.118485
175.000,6.910821,8.068394,38.116417
176.000,6.904663,8.046538,38.093266
177.000,6.908692,8.094069,38.073832
178.000,6.914924,8.102194,38.098485
179.000,6.904207,8.055890,38.084138
180.000,6.928801,8.173737,37.876019
181.000,6.899296,8.110954,37.885916
182.000,6.900470,8.118941,37.909402
183.000,6.900416,8.088757,37.908320
184.000,6.911060,8.092686,37.921208
185.000,6.893295,8.087715,37.865894
186.000,6.893757,8.097590,37.875142
187.000,6.892939,8.081079,37.858785
188.000,6.899258,8.083830,37.885165
189.000,6.899485,8.100806,37.889696
190.000,6.918459,8.135865,37.969178
191.000,6.912052,8.163487,38.041037
192.000,6.905943,8.122477,38.018860
193.000,6.900366,8.115003,38.007316
194.000,6.905291,8.100665,38.005812
195.000,6.904827,8.088690,37.996547
196.000,6.904365,8.122311,37.987296
197.000,6.900816,8.122674,38.016316
198.000,6.900009,8.117382,38.000174
199.000,6.901520,8.130984,38.030406
200.000,6.925175,8.215369,38.103509
201.000,6.920265,8.197508,38.105297
202.000,6.918707,8.202755,38.074132
203.000,6.903651,8.148341,38.073024
204.000,6.910831,8.165368,38.116618
205.000,6.905757,8.154003,38.115145
206.000,6.910552,8.177753,38.111033
207.000,6.905398,8.171258,38.107966
208.000,6.912850,8.189825,38.157003
209.000,6.926416,8.218951,38.228311
210.000,6.957084,8.400722,38.441689
211.000,6.935263,8.311125,38.405262
212.000,6.920775,8.213130,38.415510
213.000,6.929990,8.292831,38.399804
214.000,6.929881,8.276629,38.397613
215.000,6.931990,8.286368,38.439797
216.000,6.926047,8.265887,38.420940
217.000,6.933197,8.297957,38.463937
218.000,6.920572,8.278282,38.411445
219.000,6.922538,8.277651,38.450754
220.000,6.943405,8.307960,38.268107
221.000,6.916143,8.208128,38.222850
222.000,6.922231,8.233409,38.244617
223.000,6.912652,8.185944,38.253041
224.000,6.918961,8.248084,38.179215
225.000,6.908711,8.178184,38.174211
226.000,6.910449,8.179670,38.208973
227.000,6.921121,8.233567,38.222411
228.000,6.908654,8.221599,38.173077
229.000,6.910279,8.188534,38.105574
230.000,6.956396,8.393612,38.327915
231.000,6.921919,8.238892,38.338385
232.000,6.924002,8.205735,38.380041
233.000,6.926458,8.239628,38.429158
234.000,6.919279,8.218985,38.385574
235.000,6.933869,8.300098,38.377370
236.000,6.923439,8.243000,38.368785
237.000,6.941877,8.327686,38.437538
238.000,6.926232,8.221601,38.424640
239.000,6.921125,8.198672,38.422507
240.000,6.966469,8.468251,38.229387
241.000,6.908463,8.156494,38.169251
242.000,6.915037,8.184849,38.200749
243.000,6.908998,8.167816,38.179961
244.000,6.924444,8.199754,38.188874
245.000,6.920117,8.186494,38.202338
246.000,6.918594,8.179765,38.171877
247.000,6.911566,8.174482,38.131324
