scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,291.30000000,0.46633177,0.06025463,0.42341360,0.52658640
AWFDRL,257.76666667,0.44097884,0.09867394,0.37701389,0.53965278
MAAFDRL,111.86666667,0.25508628,0.08742154,0.59082552,0.34250782
DTS-DDPG,176.46666667,0.27643849,0.19536045,0.47820106,0.47179894
