scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,602.83333333,0.07324231,0.08425257,0.84250513,0.15749487
Paper2-AWFDRL-like,595.86666667,0.06587458,0.09348392,0.84064150,0.15935850
Paper3-MAAFDRL-like,238.96666667,0.07947312,0.06031011,0.86021677,0.13978323
Paper4-DTS-DDPG-like,651.40000000,0.06833328,0.08268777,0.84897895,0.15102105
