scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,24.45000000,0.23263889,0.05208333,0.54861111,0.28472222
AWFDRL,24.75000000,0.16468254,0.10416667,0.56448413,0.26884921
MAAFDRL,9.40000000,0.11041667,0.04305556,0.72152778,0.15347222
DTS-DDPG,23.00000000,0.28819444,0.07638889,0.55208333,0.36458333
