cache_capacity,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
10.0,Random,-232.1666666666667,0.008384326355340848,0.0017592592592592592,0.006625067096081588,0.9916156736446592
10.0,BSG-like,12.299999999999999,0.011569510065886876,0.011569510065886876,0.0,0.9884304899341131
10.0,C-epsilon-greedy,22.033333333333335,0.08738847344453497,0.04869178113315325,0.03869669231138174,0.9126115265554651
10.0,AWFDRL,74.53333333333335,0.07045791534673795,0.03171270874632326,0.038745206600414694,0.9295420846532622
10.0,MAAFDRL,104.96666666666665,0.1014999795023316,0.06079908891354111,0.040700890588790485,0.8985000204976684
10.0,TemporalGraph,63.833333333333336,0.046508742536655955,0.03290054810324474,0.013608194433411212,0.953491257463344
20.0,Random,-463.1666666666665,0.0177332480498003,0.004465266702108807,0.013267981347691492,0.9822667519501996
20.0,BSG-like,37.06666666666666,0.030116963828854915,0.030116963828854915,0.0,0.969883036171145
20.0,C-epsilon-greedy,-44.566666666666656,0.10678784301710718,0.059037614090964786,0.04775022892614239,0.8932121569828929
20.0,AWFDRL,129.4,0.11545907532221071,0.060166939905460216,0.05529213541675049,0.8845409246777893
20.0,MAAFDRL,134.16666666666666,0.1385333458919034,0.07649440480622542,0.06203894108567798,0.8614666541080965
20.0,TemporalGraph,103.46666666666665,0.07278152568809408,0.055901273606894224,0.016880252081199854,0.927218474311906
30.0,Random,-694.8333333333334,0.026902797965143724,0.005353771138084863,0.02154902682705886,0.9730972020348562
30.0,BSG-like,49.06666666666666,0.03983499720424484,0.03983499720424484,0.0,0.9601650027957552
30.0,C-epsilon-greedy,-116.06666666666666,0.1126684518049227,0.06073488509895131,0.0519335667059714,0.8873315481950773
30.0,AWFDRL,158.83333333333334,0.1485191617576964,0.07479824249224777,0.0737209192654486,0.8514808382423036
30.0,MAAFDRL,116.96666666666668,0.15108010106861391,0.07836042247926066,0.07271967858935326,0.8489198989313861
30.0,TemporalGraph,124.8,0.08432295984675858,0.06657306733824538,0.017749892508513197,0.9156770401532416
