n_sbs,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
8.0,Random,-457.79999999999995,0.02260590923108413,0.00965501893150298,0.01295089029958115,0.9773940907689158
8.0,BSG-like,57.06666666666666,0.03564727904247599,0.03564727904247599,0.0,0.9643527209575241
8.0,C-epsilon-greedy,-69.56666666666666,0.09194873774559988,0.054912078546143994,0.037036659199455896,0.9080512622544002
8.0,AWFDRL,104.0,0.10586126154059454,0.037952596971275045,0.06790866456931947,0.8941387384594055
8.0,MAAFDRL,141.4666666666667,0.1416838407939475,0.08617164646418389,0.05551219432976361,0.8583161592060525
8.0,TemporalGraph,84.8,0.07631910778739646,0.05138618550551516,0.02493292228188131,0.9236808922126035
12.0,Random,-690.5666666666666,0.02599137809724325,0.007396639737971007,0.018594738359272247,0.9740086219027565
12.0,BSG-like,36.06666666666667,0.031877585985209546,0.031877585985209546,0.0,0.9681224140147903
12.0,C-epsilon-greedy,-107.46666666666665,0.12191259118834985,0.07350564501207252,0.04840694617627733,0.8780874088116503
12.0,AWFDRL,120.40000000000002,0.13215020137944558,0.04053018704335074,0.09162001433609486,0.8678497986205546
12.0,MAAFDRL,89.66666666666667,0.15190152712039556,0.07676027066334028,0.07514125645705527,0.8480984728796045
12.0,TemporalGraph,89.70000000000003,0.08312504381327386,0.05459872289265358,0.028526320920620286,0.9168749561867261
16.0,Random,-939.7666666666664,0.025347511294868497,0.0041736812570145896,0.02117383003785391,0.9746524887051314
16.0,BSG-like,36.3,0.03642419849199025,0.03642419849199025,0.0,0.9635758015080098
16.0,C-epsilon-greedy,-197.73333333333335,0.10626616955338893,0.04355716796964787,0.06270900158374108,0.8937338304466111
16.0,AWFDRL,132.4,0.1575235108947447,0.04203576618515892,0.11548774470958578,0.8424764891052554
16.0,MAAFDRL,36.03333333333334,0.14089973643580794,0.07057084739689799,0.07032888903890994,0.8591002635641921
16.0,TemporalGraph,72.4666666666667,0.07878999544900817,0.05224816791904855,0.026541827529959625,0.9212100045509918
