model,local,neighbor,cloud,replace
Random,0.004193984357027835,0.025801302378170802,4.946778450242148,0.003
BSG-like,0.03063555667929692,0.0,4.791266661047961,0.0021666666666666666
C-epsilon-greedy,0.054337996040520684,0.09791747325665454,4.605913178226579,0.031812499999999994
AWFDRL,0.05331182951120331,0.23999234732036442,4.43345041829353,0.0005625000000000004
MAAFDRL,0.06277131375193104,0.17943043856999416,4.461855383027852,0.008215277777777778
TemporalGraph,0.03822390422782279,0.07703818388710927,4.712582749001999,0.0013263888888888898
