scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Our-TemporalGraph,1069.87500000,0.05474408,0.10556502,0.83969090,0.16030910
Paper2-AWFDRL-like,1191.65000000,0.06241927,0.10376982,0.83381091,0.16618909
Paper3-MAAFDRL-like,1051.30000000,0.07183613,0.07138176,0.85678211,0.14321789
Paper4-DTS-DDPG-like,1064.75000000,0.04686941,0.10849687,0.84463372,0.15536628
