scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,593.53333333,0.12095427,0.03504215,0.84400357,0.15599643
AWFDRL,359.23333333,0.05530085,0.08559908,0.85910007,0.14089993
MAAFDRL,273.06666667,0.08567016,0.05924259,0.85508725,0.14491275
