round,train_loss,val_loss
1,8.28964462,8.28677658
2,8.28643244,8.28476759
3,8.28175906,8.28199132
4,8.27879942,8.27806322
5,8.27031531,8.27128935
6,8.25885085,8.26024451
7,8.24254101,8.23901505
8,8.21265572,8.22138897
9,8.17329729,8.20037884
10,8.12973346,8.18368271
11,8.09986328,8.16294228
12,8.07778848,8.14356866
