scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,294.96666667,0.47193362,0.05719907,0.42086730,0.52913270
AWFDRL,241.86666667,0.40909722,0.11797619,0.38959325,0.52707341
MAAFDRL,117.93333333,0.24186839,0.08930946,0.60215548,0.33117785
DTS-DDPG,269.03333333,0.45074405,0.13339616,0.36585979,0.58414021
