scheme,reward_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
TemporalGraph,551.66666667,0.11533104,0.03205578,0.85261318,0.14738682
AWFDRL,343.16666667,0.05404338,0.07620300,0.86975362,0.13024638
DTS-DDPG,365.60000000,0.05801605,0.07029346,0.87169049,0.12830951
