cache_capacity,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
10.0,Random,-384.49999999999994,0.012771152518978606,0.0009523809523809524,0.011818771566597653,0.9872288474810215
10.0,BSG-like,16.6,0.00786974924389112,0.00786974924389112,0.0,0.9921302507561087
10.0,C-epsilon-greedy,9.20000000000002,0.07072749986993579,0.045240849149094736,0.02548665072084105,0.9292725001300642
10.0,TemporalGraph,120.09999999999997,0.09265546106131906,0.02430442184834988,0.06835103921296917,0.9073445389386811
20.0,Random,-736.1999999999998,0.03967348198831575,0.013266403162055336,0.026407078826260415,0.9603265180116841
20.0,BSG-like,81.3,0.030288713210681172,0.030288713210681172,0.0,0.9697112867893187
20.0,C-epsilon-greedy,-71.1,0.09654679961543149,0.054134381366735616,0.04241241824869586,0.9034532003845687
20.0,TemporalGraph,160.30000000000004,0.12003234936498082,0.040662832242150476,0.07936951712283034,0.8799676506350191
30.0,Random,-1156.0999999999997,0.028206166932482724,0.011120452646768435,0.017085714285714287,0.9717938330675172
30.0,BSG-like,114.4,0.04192768437596813,0.04192768437596813,0.0,0.9580723156240316
30.0,C-epsilon-greedy,-147.80000000000007,0.10272385892047114,0.0640789260177486,0.03864493290272255,0.8972761410795287
30.0,TemporalGraph,223.79999999999995,0.1586777970580411,0.06407984678113299,0.09459795027690814,0.8413222029419587
